DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P404;P406S2;P407S2;P408;P4900;P807;P809;P809S1;P420;P171;P6850;P5971;P5971S1;P5971S1A1;P5971S2;P5971S2A1;P5971S3;P5971S3A1;P5971S4;P5971S4A1;P5971S5;P5971S5A1;P5971S6;P5971S6A1;P5971S7;P5971S7A1;P5971S8;P5971S8A1;P5971S9;P5971S9A1;P5971S10;P5971S10A1
7247707;3;1;3;164,410667518307;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247707;4;1;4;164,410667518307;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247710;6;1;6;171,847276182176;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247712;3;1;3;166,625201943715;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247712;4;1;4;166,625201943715;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247713;3;1;3;164,410667518307;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247714;3;1;3;205,929200044471;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247714;4;1;4;205,929200044471;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247714;5;1;5;205,929200044471;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247714;6;1;6;205,929200044471;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247717;3;1;3;182,934312474499;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247718;3;1;3;221,104327742111;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247718;4;1;4;221,104327742111;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247718;5;1;5;221,104327742111;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247720;5;1;5;164,488861382662;5;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247727;3;1;3;366,207584252887;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247730;2;2;2;268,150901659018;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247731;4;1;4;309,772668741917;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247732;6;1;6;408,036468576648;6;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247735;2;1;2;324,847817290804;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247735;3;1;3;324,847817290804;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247739;3;1;3;325,039280494655;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247740;6;1;6;395,702805404808;1;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247745;4;1;4;354,204211363812;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247746;3;1;3;323,677537987452;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247747;3;2;3;376,804146617607;2;6;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
