P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
2,84,3,-1,6,1,10,2,4,3,5,4.17,4,1,4,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
1,64,4,-1,6,8,10,3,4,6,2,5.5,2,1,4,1,2,4,1,3,0,2,2,2,2,2,0,2,1,2,2,2,2,0,0,2,0,0
1,63,6,1,6,7,7,7,7,7,7,7.0,2,1,5,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,180000,0
2,64,3,-1,6,7,10,0,6,8,8,6.5,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,68,5,-1,6,10,10,9,10,10,10,9.83,1,1,2,1,2,3,1,3,0,2,2,1,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,62,4,-1,6,10,9,9,9,10,10,9.5,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,500000,100000
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,400000,0
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,5,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,500000,100000
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,5,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,400000,0
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,500000,100000
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,400000,0
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,500000,100000
1,69,6,1,6,10,7,10,10,10,10,9.5,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,400000,0
2,66,6,1,6,9,10,0,10,10,10,8.17,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,0
2,66,6,1,6,9,10,0,10,10,10,8.17,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,66,6,1,6,9,10,0,10,10,10,8.17,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,0
2,66,6,1,6,9,10,0,10,10,10,8.17,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,62,6,2,6,10,3,8,8,9,9,7.83,2,1,2,1,2,5,1,1,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,1,120000,0
1,73,6,1,6,8,8,8,10,10,9,8.83,2,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,450,2,0,450000
2,72,6,1,6,9,8,7,10,7,9,8.33,2,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,86,3,-1,6,8,3,7,5,2,5,5.0,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,80000
1,63,6,1,6,6,3,6,7,4,6,5.33,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,200000,0
2,62,6,1,6,7,4,5,7,7,6,6.0,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,74,6,1,6,6,6,6,8,8,7,6.83,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,1,200000,0
2,71,6,1,6,8,7,7,9,9,8,8.0,1,2,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,50000
1,64,6,1,6,10,0,5,10,5,10,6.67,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,69,3,-1,6,10,10,10,10,10,10,10.0,1,1,3,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,71,3,-1,6,5,6,5,6,6,6,5.67,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,60,4,-1,6,7,2,6,8,6,6,5.83,1,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,200000
1,64,3,-1,6,4,3,4,4,6,5,4.33,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,350000,0
1,62,6,1,6,7,4,7,4,5,5,5.33,1,1,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,500000,0
1,96,3,-1,6,8,5,5,5,5,6,5.67,1,2,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,69,5,-1,6,8,8,8,8,5,7,7.33,1,2,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,80000
2,67,3,-1,6,6,5,5,5,2,7,5.0,2,1,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,500000
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,2,2,90000,0
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,3,1,1,35112,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,500000
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,3,1,1,35112,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,90000,0
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,5,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,500000
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,5,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,2,2,90000,0
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,5,1,1,35112,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,500000
2,69,3,-1,6,7,6,7,7,7,7,6.83,1,1,4,1,2,5,1,1,35112,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,90000,0
2,65,6,1,6,8,5,5,8,7,7,6.67,1,2,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,100000,0
1,72,6,1,6,5,4,3,3,5,3,3.83,1,2,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,67,6,1,6,4,0,7,3,9,5,4.67,3,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
